Reading Datetime	Min_Temperature (*C)	Max_Temperature (*C)	Avg_Temperature (*C)	Sum_Precipitation (mm)	Min_Humidity (%)	Max_Humidity (%)	Avg_Humidity (%)	Avg_Wind_Direction (deg)	Avg_Wind_Gust (km/h)	Min_Wind_Speed (km/h)	Max_Wind_Speed (km/h)	Avg_Wind_Speed (km/h)	Avg_Solar_Radiation (wat/m2)	Avg_Soil_Moisture_A (kPa)	Avg_Soil_Moisture_B (kPa)	
3-Apr-2006	22.5	29.5	24.375510001669124	18.27999973297119	72.9	100	94.66326499471859	227.17142751265544	6.4	0	0	0	128.5714283281443	0.8163265306122449	0.8163265306122449	
4-Apr-2006	22.9	32.8	26.152083198229473	1.0099999904632568	55.9	100	86.14791655540466	239.24583486715952	4.8	0	0	0	256.49583170811337	0.5	0.5	
5-Apr-2006	22.5	31.2	25.139583309491474	3.299999952316284	66.2	100	89.46874984105428	147.11458205680051	14.5	0	1.6	0.033333333830038704	171.81458430488905	0.3541666666666667	0.3541666666666667	
6-Apr-2006	21.7	31.6	24.800000031789143	0	63.8	100	89.26458287239075	211.41458368301392	12.9	0	0	0	161.27708265185356	0.2708333333333333	0.2708333333333333	
7-Apr-2006	21.3	25.6	22.831249952316284	26.899999856948853	89.8	100	98.51249996821086	281.63958231608075	1.6	0	0	0	45.46041635672251	0.5625	0.5625	
8-Apr-2006	21.3	30.4	24.22083326180776	11.680000066757202	68.3	100	92.73749987284343	184.6895834406217	9.7	0	1.6	0.033333333830038704	163.6041673719883	0.4583333333333333	0.4583333333333333	
9-Apr-2006	21	31.2	25.158333381017048	1.0099999904632568	63	100	90.02708292007446	107.42083374659221	14.5	0	1.6	0.033333333830038704	197.91458306709924	0.3541666666666667	0.3541666666666667	
10-Apr-2006	19.8	23.7	21.266666769981384	120.6399998664856	99.5	100	99.92708333333333	211.4104150136312	9.7	0	1.6	0.06666666766007741	6.372916748126348	0.5208333333333334	0.5208333333333334	
11-Apr-2006	20.2	27.2	22.764583468437195	0	77.3	100	94.59999990463257	197.58125185966492	4.8	0	0	0	97.79374937216441	1	1	
12-Apr-2006	21.7	28.3	23.514583388964336	2.5299999713897705	78.1	100	95.72916634877522	87.00416494409244	8	0	0	0	79.78125074505806	0.7083333333333334	0.7083333333333334	
13-Apr-2006	21	29.9	24.431250055631	0.25	67.4	100	89.91666650772095	187.63958275318146	6.4	0	0	0	131.61249989271164	0.4791666666666667	0.4791666666666667	
14-Apr-2006	21.3	30.4	24.416666587193806	5.329999923706055	74.9	100	93.84374984105428	197.60000014305115	6.4	0	0	0	101.96458272139232	0.3541666666666667	0.3541666666666667	
15-Apr-2006	22.5	30.8	25.514583349227905	9.899999856948853	73.3	100	92.056249777476	216.237499833107	6.4	0	0	0	146.445832302173	0	0	
16-Apr-2006	17.9	22.1	19.854166666666668	69.59999918937683	96.2	100	99.11666599909465	289.1000016927719	22.5	0	1.6	0.4000000059604645	39.70416638255119	0.3958333333333333	0.3958333333333333	
17-Apr-2006	17.1	26	20.331250071525574	0	61.9	100	86.56666588783264	268.43124756217003	16.1	0	1.6	0.5333333412806193	153.92291681965193	1	1	
