"","name","found","family"
"272","cedrelaodorata","TRUE","Meliaceae"
"273","bignoniaceaesp36","TRUE","Bignoniaceae"
"274","virolasp","TRUE","Myristicaceae"
"275","cecropiasp","TRUE","Urticaceae"
"276","bignoniaceaesp2","TRUE","Bignoniaceae"
"277","ingasp","TRUE","Fabaceae"
"278","bignoniaceaesp1","TRUE","Bignoniaceae"
"279","asplundiasp","TRUE","Cyclanthaceae"
"280","fevilleacordata","TRUE","Cucurbitaceae"
"281","tabernaemontanasananho","TRUE","Apocynaceae"
"282","cheilocliniumcognatum","TRUE","Celastraceae"
"283","paulliniaobovata","TRUE","Sapindaceae"
"284","cayaponiamacrocalix","TRUE","Cucurbitaceae"
"285","ficuserythrosticta","TRUE","Moraceae"
"286","solanaceae","TRUE","Solanaceae"
"287","terminaliaamazonia","TRUE","Combretaceae"
"288","couepialatifolia","TRUE","Chrysobalanaceae"
"289","acaciaspnarrow","TRUE","Fabaceae"
"290","cissussp","TRUE","Ulmaceae"
"291","acaciaspbroad","TRUE","Fabaceae"
"292","strychnoserichsonii","TRUE","Loganiaceae"
"293","sapindussaponaria","TRUE","Sapindaceae"
"294","paulliniarf11880","TRUE","Sapindaceae"
"295","cavallinesiasp","TRUE","Malvaceae"
"296","caseariaaculeata","TRUE","Salicaceae"
"297","matisiarhombifolia","TRUE","Malvaceae"
"298","ficuspseudokillipii","TRUE","Moraceae"
"299","dalbergiavariabilis","TRUE","Fabaceae"
"300","machaeriumsp","TRUE","Fabaceae"
"301","bauhiniasp2","TRUE","Fabaceae"
"302","naucleopsispseudonaga","TRUE","Moraceae"
"303","richeriagrandis","TRUE","Phyllanthaceae"
"304","smilaxfebrifuga","TRUE","Smilacaceae"
"305","maripaperuviana","TRUE","Convolvulaceae"
"306","icacinaceae","TRUE","Icacinaceae"
"307","clarisiabiflora","TRUE","Moraceae"
"308","huracrepitans","TRUE","Euphorbiaceae"
"309","cymbopetalumlongipes","TRUE","Annonaceae"
"310","fabaceaesp8","TRUE","Fabaceae"
"311","lauraceaesp7","TRUE","Lauraceae"
"312","bactrislacheri","TRUE","Arecaceae"
"313","brosimumutile","TRUE","Moraceae"
"314","ingapunctata","TRUE","Fabaceae"
"315","fabaceaesp4","TRUE","Fabaceae"
"316","machaeriumsp3","TRUE","Fabaceae"
"317","byttneriasp1","TRUE","Malvaceae"
"318","caricamicrocarpa","TRUE","Caricaceae"
"319","bignoniaceaesp","TRUE","Bignoniaceae"
"320","acaciasp6","TRUE","Fabaceae"
"321","fabaceaesp1","TRUE","Fabaceae"
"322","disciphaniaernestii","TRUE","Menispermaceae"
"323","acaciapaniculata","TRUE","Fabaceae"
"324","swartziamyrtifolia","TRUE","Fabaceae"
"325","unonopsismathewsii","TRUE","Annonaceae"
"326","mansoasp2","TRUE","Bignoniaceae"
"327","fabaceaesp9","TRUE","Fabaceae"
"328","clavijatarapotana","TRUE","Primulaceae"
"329","ingasp13","TRUE","Fabaceae"
"330","guapirarf11340","TRUE","Nyctaginaceae"
"331","ingastipularis","TRUE","Fabaceae"
"332","inganobilis","TRUE","Fabaceae"
"333","prestoniasp1","TRUE","Apocynaceae"
"334","tanaeciumnocturnum","TRUE","Bignoniaceae"
"335","serjaniasp3","TRUE","Sapindaceae"
"337","cupaniacinerea","TRUE","Sapindaceae"
"338","batocarpusamazonicus","TRUE","Moraceae"
"339","fabaceaesp","TRUE","Fabaceae"
"340","euphorbiaceae","TRUE","Euphorbiaceae"
"341","serjaniatenuifolia","TRUE","Sapindaceae"
"342","bignoniaceaesp4","TRUE","Bignoniaceae"
"343","doliocarpuscfmajor","TRUE","Dilleniaceae "
"344","bignoniaceaesp11","TRUE","Bignoniaceae"
"345","cucurbitaceaesp1","TRUE","Cucurbitaceae"
"346","pouteriasp","TRUE","Sapotaceae"
"347","serjaniasp","TRUE","Sapindaceae"
"348","vernoniapatens","TRUE","Asteraceae"
"349","nectandralongifolia","TRUE","Lauraceae"
"350","hiraeasp2","TRUE","Malpighiaceae"
